mouse,session,geno,trial,result,,
Mouse14,1,Last20,241,0,,
Mouse14,1,Last20,242,0,,
Mouse14,1,Last20,243,0,,
Mouse14,1,Last20,244,0,,
Mouse14,2,First20,1,1,,
Mouse14,2,First20,2,0,,
Mouse14,2,First20,3,1,,
Mouse14,2,First20,4,1,,
Mouse14,2,First20,5,1,,
Mouse14,2,First20,6,1,,
Mouse14,2,First20,7,0,,
Mouse14,2,First20,8,0,,
Mouse14,2,First20,9,1,,
Mouse14,2,First20,10,1,,
Mouse14,2,First20,11,1,,
Mouse14,2,First20,12,1,,
Mouse14,2,First20,13,0,,
Mouse14,2,First20,14,1,,
Mouse14,2,First20,15,1,,
Mouse14,2,First20,16,0,,
Mouse14,2,First20,17,0,,
Mouse14,2,First20,18,0,,
Mouse14,2,First20,19,0,,
Mouse14,2,First20,20,1,,
Mouse14,2,Last20,173,0,,
Mouse14,2,Last20,174,0,,
Mouse14,2,Last20,175,0,,
Mouse14,2,Last20,176,1,,
Mouse14,2,Last20,177,0,,
Mouse14,2,Last20,178,0,,
Mouse14,2,Last20,179,1,,
Mouse14,2,Last20,180,0,,
Mouse14,2,Last20,181,0,,
Mouse14,2,Last20,182,0,,
Mouse14,2,Last20,183,1,,
Mouse14,2,Last20,184,1,,
Mouse14,2,Last20,185,1,,
Mouse14,2,Last20,186,0,,
Mouse14,2,Last20,187,1,,
