mouse,session,trial,result
Mouse2,4,39,1
Mouse2,4,40,0
Mouse2,4,41,1
Mouse2,4,42,1
Mouse2,4,43,0
Mouse2,4,44,1
Mouse2,4,45,1
Mouse2,4,46,1
Mouse2,4,47,1
Mouse2,4,48,1
Mouse2,4,49,1
Mouse2,4,50,1
Mouse2,4,51,0
Mouse2,4,52,1
Mouse2,4,53,1
Mouse2,4,54,1
Mouse2,4,55,1
Mouse2,4,56,1
Mouse2,4,57,1
Mouse2,4,58,1
Mouse2,4,59,1
Mouse2,4,60,1
Mouse2,4,61,0
Mouse2,4,62,0
Mouse2,4,63,1
Mouse2,4,64,1
Mouse2,4,65,1
Mouse2,4,66,1
Mouse2,4,67,1
Mouse2,4,68,1
Mouse2,4,69,1
Mouse2,4,70,0
Mouse2,4,71,1
Mouse2,4,72,1
Mouse2,4,73,1
Mouse2,4,74,1
Mouse2,4,75,1
Mouse2,4,76,1
Mouse2,4,77,0
Mouse2,4,78,1
Mouse2,4,79,0
Mouse2,4,80,1
Mouse2,4,81,1
Mouse2,4,82,1
Mouse2,4,83,1
Mouse2,4,84,1
Mouse2,4,85,1
Mouse2,4,86,0
Mouse2,4,87,0
Mouse2,4,88,1
Mouse2,4,89,0
Mouse2,4,90,0
Mouse2,4,91,1
Mouse2,4,92,1
Mouse2,4,93,1
Mouse2,4,94,1
Mouse2,4,95,1
Mouse2,4,96,1
Mouse2,4,97,1
Mouse2,4,98,1
Mouse2,4,99,0
Mouse2,4,100,1
Mouse2,4,101,1
Mouse2,5,1,1
Mouse2,5,2,0
Mouse2,5,3,1
Mouse2,5,4,1
Mouse2,5,5,1
Mouse2,5,6,0
Mouse2,5,7,1
Mouse2,5,8,0
Mouse2,5,9,1
Mouse2,5,10,0
Mouse2,5,11,1
Mouse2,5,12,1
Mouse2,5,13,1
Mouse2,5,14,1
Mouse2,5,15,1
Mouse2,5,16,1
Mouse2,5,17,1
Mouse2,5,18,1
Mouse2,5,19,0
Mouse2,5,20,1
Mouse2,5,21,1
Mouse2,5,22,1
Mouse2,5,23,1
Mouse2,5,24,1
Mouse2,5,25,1
Mouse2,5,26,1
Mouse2,5,27,0
Mouse2,5,28,1
Mouse2,5,29,1
Mouse2,5,30,1
Mouse2,5,31,1
Mouse2,5,32,1
Mouse2,5,33,0
